queuePosition,priority,priorityReason,slug,title,category,importance,status,articleUrl,taskLibraryUrl,unmetStandardGates,heldStandardGates,unknownStandardGates,nextAction,instructionRevisionReviewed,contributorComplete,articleMapped,articleCatalogGate,articleSemanticCertification,taskExampleEvidence,recordedExecution,acceptedExecution,setupSuccess
1,P0,Explicit evidence hold,build-into-post-project-checklist-and-weekly-routine,Keep a Simple Thank-You Routine,Thank You Machine,3,needs-work,https://blitzmetrics.com/thank-you-machine,https://local-service-spotlight.github.io/task-library/?task=build-into-post-project-checklist-and-weekly-routine#task-build-into-post-project-checklist-and-weekly-routine,contributorComplete,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the ordinary public URL redirects to /face-socks/ (How to Order Custom Face Socks, post 103160). That gift-ordering recipe does not certify the mapped thank-you video, tagging and paid-test workflows. The canonical video destination needs owner reconciliation; contributor task states are unchanged.",pass,unmet,pass,hold,hold,unknown,unknown,unknown,unknown
2,P0,Explicit evidence hold,boost-with-dollar-a-day,Test a Thank-You Post With a Small Ad,Thank You Machine,5,complete,https://blitzmetrics.com/thank-you-machine,https://local-service-spotlight.github.io/task-library/?task=boost-with-dollar-a-day#task-boost-with-dollar-a-day,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the ordinary public URL redirects to /face-socks/ (How to Order Custom Face Socks, post 103160). That gift-ordering recipe does not certify the mapped thank-you video, tagging and paid-test workflows. The canonical video destination needs owner reconciliation; contributor task states are unchanged.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
3,P0,Explicit evidence hold,create-and-send-thank-you-machine-videos,Create and send Thank You Machine videos,Content Factory — Promote,5,complete,https://blitzmetrics.com/thank-you-machine,https://local-service-spotlight.github.io/task-library/?task=create-and-send-thank-you-machine-videos#task-create-and-send-thank-you-machine-videos,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the ordinary public URL redirects to /face-socks/ (How to Order Custom Face Socks, post 103160). That gift-ordering recipe does not certify the mapped thank-you video, tagging and paid-test workflows. The canonical video destination needs owner reconciliation; contributor task states are unchanged.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
4,P0,Explicit evidence hold,funnel-levels-audience-engagement-conversion,"Funnel levels (Audience, Engagement, Conversion)",Strategy & Measurement,5,complete,https://blitzmetrics.com/9-triangles-framework-scalable-home-service-businesses/,https://local-service-spotlight.github.io/task-library/?task=funnel-levels-audience-engagement-conversion#task-funnel-levels-audience-engagement-conversion,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the live hub duplicates GCT and DDD and omits the accepted AEC, CID, and SBP triangle labels from Nine Triangles operational version 2026-08-06.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
5,P0,Explicit evidence hold,maa-cycle-metrics-analysis-action,"MAA cycle (Metrics, Analysis, Action)",Strategy & Measurement,4,complete,https://blitzmetrics.com/9-triangles-framework-scalable-home-service-businesses/,https://local-service-spotlight.github.io/task-library/?task=maa-cycle-metrics-analysis-action#task-maa-cycle-metrics-analysis-action,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the live hub duplicates GCT and DDD and omits the accepted AEC, CID, and SBP triangle labels from Nine Triangles operational version 2026-08-06.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
6,P0,Explicit evidence hold,content-strategy-90-greatest-hits-10-new,"Content Strategy (90% Greatest Hits, 10% New)",Strategy & Measurement,3,complete,https://blitzmetrics.com/9-triangles-framework-scalable-home-service-businesses/,https://local-service-spotlight.github.io/task-library/?task=content-strategy-90-greatest-hits-10-new#task-content-strategy-90-greatest-hits-10-new,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the live hub duplicates GCT and DDD and omits the accepted AEC, CID, and SBP triangle labels from Nine Triangles operational version 2026-08-06.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
7,P0,Explicit evidence hold,follow-entity-linking-decision-tree,Follow entity linking decision tree,SEO & Content Architecture,3,complete,https://blitzmetrics.com/entity-linking/,https://local-service-spotlight.github.io/task-library/?task=follow-entity-linking-decision-tree#task-follow-entity-linking-decision-tree,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,Existing completed entity-linking task now maps to its precise standalone recipe. This mapping review is not independent runtime or semantic certification of the newly mapped article.,pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
8,P0,Explicit evidence hold,gct-goals-content-targeting,"GCT (Goals, Content, Targeting)",Strategy & Measurement,3,complete,https://blitzmetrics.com/9-triangles-framework-scalable-home-service-businesses/,https://local-service-spotlight.github.io/task-library/?task=gct-goals-content-targeting#task-gct-goals-content-targeting,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the live hub duplicates GCT and DDD and omits the accepted AEC, CID, and SBP triangle labels from Nine Triangles operational version 2026-08-06.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
9,P0,Explicit evidence hold,identify-thank-you-triggers,Find a Real Reason to Say Thanks,Thank You Machine,3,complete,https://blitzmetrics.com/thank-you-machine,https://local-service-spotlight.github.io/task-library/?task=identify-thank-you-triggers#task-identify-thank-you-triggers,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the ordinary public URL redirects to /face-socks/ (How to Order Custom Face Socks, post 103160). That gift-ordering recipe does not certify the mapped thank-you video, tagging and paid-test workflows. The canonical video destination needs owner reconciliation; contributor task states are unchanged.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
10,P0,Explicit evidence hold,kill-underperformers-scale-winners,"Kill underperformers, scale winners",Strategy & Measurement,3,complete,https://blitzmetrics.com/9-triangles-framework-scalable-home-service-businesses/,https://local-service-spotlight.github.io/task-library/?task=kill-underperformers-scale-winners#task-kill-underperformers-scale-winners,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the live hub duplicates GCT and DDD and omits the accepted AEC, CID, and SBP triangle labels from Nine Triangles operational version 2026-08-06.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
